2023-10-30 03:02:46: [204264][CbrPK1][229|2235|1169]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :16870| ĐỒNG  :0| ĐỒNG KHÓA :920
2023-10-30 03:03:19: [204264][CbrPK1][1|3229|3462]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :16870| ĐỒNG  :0| ĐỒNG KHÓA :920
2023-10-30 03:04:33: [200172][ShopeeFood][227|3721|1199]  HOẠT LỰC :29160 | TINH LỰC :29160| BẠC :62900| BẠC KHÓA :369011| ĐỒNG  :2000| ĐỒNG KHÓA :0
2023-10-30 03:05:09: [206744][Testvui][23|3270|1530]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :147795| ĐỒNG  :0| ĐỒNG KHÓA :10
2023-10-30 03:14:21: [206224][HaoKiemxx][5|5465|2967]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :700| BẠC KHÓA :18958| ĐỒNG  :0| ĐỒNG KHÓA :125
2023-10-30 03:20:43: [200129][MrPhongSiiro][25|9858|3287]  HOẠT LỰC :2560 | TINH LỰC :2560| BẠC :127100| BẠC KHÓA :552936| ĐỒNG  :6670| ĐỒNG KHÓA :1235
2023-10-30 03:29:35: [200172][ShopeeFood][72|4797|4267]  HOẠT LỰC :29160 | TINH LỰC :29160| BẠC :62900| BẠC KHÓA :374311| ĐỒNG  :2000| ĐỒNG KHÓA :0
2023-10-30 03:38:35: [200200][Doline][5|5471|2968]  HOẠT LỰC :4365 | TINH LỰC :4395| BẠC :43650| BẠC KHÓA :193097| ĐỒNG  :0| ĐỒNG KHÓA :2300
2023-10-30 04:12:22: [201284][HPgaumeo][110|3242|5619]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :221500| BẠC KHÓA :697071| ĐỒNG  :0| ĐỒNG KHÓA :4220
2023-10-30 04:17:57: [206224][HaoKiemxx][5|5465|2967]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :700| BẠC KHÓA :18958| ĐỒNG  :0| ĐỒNG KHÓA :125
2023-10-30 04:21:20: [206224][HaoKiemxx][5|6310|3882]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :700| BẠC KHÓA :18958| ĐỒNG  :0| ĐỒNG KHÓA :125
